threshold,accuracy,precision,recall,f1_score,roc_auc,pr_auc,true_negatives,false_positives,false_negatives,true_positives,actual_fraud,predicted_fraud,test_rows
0.68,0.9991339356771687,0.9111111111111111,0.5540540540540541,0.6890756302521008,0.974227111185468,0.7779638015415702,42644,4,33,41,74,45,42722
0.6900000000000001,0.9991105285333084,0.9090909090909091,0.5405405405405406,0.6779661016949152,0.974227111185468,0.7779638015415702,42644,4,34,40,74,44,42722
0.7000000000000001,0.9991105285333084,0.9090909090909091,0.5405405405405406,0.6779661016949152,0.974227111185468,0.7779638015415702,42644,4,34,40,74,44,42722
0.7100000000000001,0.9990637142455877,0.9047619047619048,0.5135135135135135,0.6551724137931034,0.974227111185468,0.7779638015415702,42644,4,36,38,74,42,42722
0.72,0.9989700856701466,0.8947368421052632,0.4594594594594595,0.6071428571428571,0.974227111185468,0.7779638015415702,42644,4,40,34,74,38,42722
0.73,0.9989466785262863,0.8918918918918919,0.44594594594594594,0.5945945945945946,0.974227111185468,0.7779638015415702,42644,4,41,33,74,37,42722
0.74,0.9989232713824259,0.8888888888888888,0.43243243243243246,0.5818181818181818,0.974227111185468,0.7779638015415702,42644,4,42,32,74,36,42722
0.75,0.9988998642385656,0.8857142857142857,0.4189189189189189,0.5688073394495413,0.974227111185468,0.7779638015415702,42644,4,43,31,74,35,42722
0.76,0.998853049950845,0.8787878787878788,0.3918918918918919,0.5420560747663551,0.974227111185468,0.7779638015415702,42644,4,45,29,74,33,42722
0.77,0.998853049950845,0.8787878787878788,0.3918918918918919,0.5420560747663551,0.974227111185468,0.7779638015415702,42644,4,45,29,74,33,42722
0.78,0.998853049950845,0.9032258064516129,0.3783783783783784,0.5333333333333333,0.974227111185468,0.7779638015415702,42645,3,46,28,74,31,42722
0.79,0.998782828519264,0.8928571428571429,0.33783783783783783,0.49019607843137253,0.974227111185468,0.7779638015415702,42645,3,49,25,74,28,42722
0.8,0.9987360142315435,0.8846153846153846,0.3108108108108108,0.46,0.974227111185468,0.7779638015415702,42645,3,51,23,74,26,42722
0.81,0.9987126070876832,0.88,0.2972972972972973,0.4444444444444444,0.974227111185468,0.7779638015415702,42645,3,52,22,74,25,42722
0.8200000000000001,0.9987126070876832,0.88,0.2972972972972973,0.4444444444444444,0.974227111185468,0.7779638015415702,42645,3,52,22,74,25,42722
0.8300000000000001,0.9985955713683816,0.85,0.22972972972972974,0.3617021276595745,0.974227111185468,0.7779638015415702,42645,3,57,17,74,20,42722
0.8400000000000001,0.9985721642245213,0.8823529411764706,0.20270270270270271,0.32967032967032966,0.974227111185468,0.7779638015415702,42646,2,59,15,74,17,42722
0.85,0.9985721642245213,0.9333333333333333,0.1891891891891892,0.3146067415730337,0.974227111185468,0.7779638015415702,42647,1,60,14,74,15,42722
0.86,0.9985721642245213,0.9333333333333333,0.1891891891891892,0.3146067415730337,0.974227111185468,0.7779638015415702,42647,1,60,14,74,15,42722
0.87,0.9985721642245213,1.0,0.17567567567567569,0.2988505747126437,0.974227111185468,0.7779638015415702,42648,0,61,13,74,13,42722
0.88,0.9985019427929404,1.0,0.13513513513513514,0.23809523809523808,0.974227111185468,0.7779638015415702,42648,0,64,10,74,10,42722
0.89,0.9984551285052198,1.0,0.10810810810810811,0.1951219512195122,0.974227111185468,0.7779638015415702,42648,0,66,8,74,8,42722
0.9,0.9984083142174992,1.0,0.08108108108108109,0.15,0.974227111185468,0.7779638015415702,42648,0,68,6,74,6,42722
0.91,0.9984083142174992,1.0,0.08108108108108109,0.15,0.974227111185468,0.7779638015415702,42648,0,68,6,74,6,42722
0.92,0.9984083142174992,1.0,0.08108108108108109,0.15,0.974227111185468,0.7779638015415702,42648,0,68,6,74,6,42722
0.93,0.9983849070736389,1.0,0.06756756756756757,0.12658227848101267,0.974227111185468,0.7779638015415702,42648,0,69,5,74,5,42722
0.9400000000000001,0.9983849070736389,1.0,0.06756756756756757,0.12658227848101267,0.974227111185468,0.7779638015415702,42648,0,69,5,74,5,42722
0.9500000000000001,0.9983614999297785,1.0,0.05405405405405406,0.10256410256410256,0.974227111185468,0.7779638015415702,42648,0,70,4,74,4,42722
0.9600000000000001,0.9983614999297785,1.0,0.05405405405405406,0.10256410256410256,0.974227111185468,0.7779638015415702,42648,0,70,4,74,4,42722
0.97,0.9983614999297785,1.0,0.05405405405405406,0.10256410256410256,0.974227111185468,0.7779638015415702,42648,0,70,4,74,4,42722
0.98,0.9983380927859182,1.0,0.04054054054054054,0.07792207792207792,0.974227111185468,0.7779638015415702,42648,0,71,3,74,3,42722
0.99,0.9982912784981977,1.0,0.013513513513513514,0.02666666666666667,0.974227111185468,0.7779638015415702,42648,0,73,1,74,1,42722
